set_id,Region,Sales_Channel,Units_Sold,Discount_%
8683-13,Asia-Pacific,Retail,28868,10
8683-13,Australia,Online,19594,15
8683-13,Australia,Retail,49203,5
8683-12,USA,Online,16014,15
8683-12,USA,Retail,30258,10
8683-12,Europe,Online,16239,10
8683-12,Europe,Retail,21481,20
8683-12,Asia-Pacific,Online,40466,10
8683-12,Asia-Pacific,Retail,44193,10
8683-12,Australia,Online,40130,5
8683-12,Australia,Retail,12217,5
8683-11,USA,Online,46549,15
8683-11,USA,Retail,37455,15
8683-11,Europe,Online,11920,15
8683-11,Europe,Retail,20232,15
8683-11,Asia-Pacific,Online,15874,10
8683-11,Asia-Pacific,Retail,28754,5
8683-11,Australia,Online,27694,5
8683-11,Australia,Retail,21782,15
8683-10,USA,Online,46994,10
8683-10,USA,Retail,40667,5
8683-10,Europe,Online,27273,10
8683-10,Europe,Retail,11228,10
8683-10,Asia-Pacific,Online,26144,10
8683-10,Asia-Pacific,Retail,15341,10
8683-10,Australia,Online,37888,10
8683-10,Australia,Retail,30537,15
8683-9,USA,Online,39698,15
8683-9,USA,Retail,23498,15
8683-9,Europe,Online,28226,10
8683-9,Europe,Retail,30380,20
8683-9,Asia-Pacific,Online,43816,5
8683-9,Asia-Pacific,Retail,28787,10
8683-9,Australia,Online,33301,5
8683-9,Australia,Retail,37262,10
8683-8,USA,Online,34388,5
8683-8,USA,Retail,29408,10
8683-8,Europe,Online,10670,10
8683-8,Europe,Retail,10395,15
8683-8,Asia-Pacific,Online,23917,5
8683-8,Asia-Pacific,Retail,46595,5
8683-8,Australia,Online,43276,5
8683-8,Australia,Retail,23393,10
8683-7,USA,Online,17830,5
8683-7,USA,Retail,10502,15
8683-7,Europe,Online,17342,20
8683-7,Europe,Retail,36088,10
8683-7,Asia-Pacific,Online,21921,10
8683-7,Asia-Pacific,Retail,49158,10
8683-7,Australia,Online,30912,5
8683-7,Australia,Retail,42466,10
8683-6,USA,Online,10433,15
8683-6,USA,Retail,17264,5
8683-6,Europe,Online,27566,20
8683-6,Europe,Retail,49495,15
8683-6,Asia-Pacific,Online,22752,10
8683-6,Asia-Pacific,Retail,34897,10
8683-6,Australia,Online,29289,15
8683-6,Australia,Retail,46272,15
8683-5,USA,Online,16777,10
8683-5,USA,Retail,15034,15
8683-5,Europe,Online,29306,10
8683-5,Europe,Retail,23833,10
8683-5,Asia-Pacific,Online,15000,5
8683-5,Asia-Pacific,Retail,28453,10
8683-5,Australia,Online,37521,5
8683-5,Australia,Retail,43326,10
630-3,USA,Online,28373,5
630-3,USA,Retail,13238,5
630-3,Europe,Online,11246,10
630-3,Europe,Retail,15311,20
630-3,Asia-Pacific,Online,33593,5
630-3,Asia-Pacific,Retail,11682,10
630-3,Australia,Online,11886,10
630-3,Australia,Retail,22474,10
8805-15,USA,Online,47788,5
8805-15,USA,Retail,42970,10
8805-15,Europe,Online,10070,20
8805-15,Europe,Retail,43622,10
8805-15,Asia-Pacific,Online,14762,10
8805-15,Asia-Pacific,Retail,42710,10
8805-15,Australia,Online,32074,5
8805-15,Australia,Retail,13989,5
8805-16,USA,Online,16148,15
8805-16,USA,Retail,42192,15
8805-16,Europe,Online,43662,15
8805-16,Europe,Retail,33542,10
8805-16,Asia-Pacific,Online,15648,10
8805-16,Asia-Pacific,Retail,39737,5
8805-16,Australia,Online,45060,5
8805-16,Australia,Retail,35462,15
8827-9,USA,Online,17837,10
8827-9,USA,Retail,46700,15
8827-9,Europe,Online,27628,10
8827-9,Europe,Retail,11644,10
8827-9,Asia-Pacific,Online,26466,5
8827-9,Asia-Pacific,Retail,44044,10
8827-9,Australia,Online,13902,5
8827-9,Australia,Retail,29717,5
8827-13,USA,Online,13992,15
8827-13,USA,Retail,45406,10
8827-13,Europe,Online,10639,10
8827-13,Europe,Retail,31753,20
8827-13,Asia-Pacific,Online,34161,10
8827-13,Asia-Pacific,Retail,42460,10
8827-13,Australia,Online,45507,15
8827-13,Australia,Retail,35398,5
8831-9,USA,Online,32081,15
8831-9,USA,Retail,41256,15
8831-9,Europe,Online,46547,15
8831-9,Europe,Retail,23402,15
8831-9,Asia-Pacific,Online,11766,5
8831-9,Asia-Pacific,Retail,43492,5
8831-9,Australia,Online,29563,5
8831-9,Australia,Retail,37030,15
8831-10,USA,Online,33911,15
8831-10,USA,Retail,47611,5
8831-10,Europe,Online,37044,10
8831-10,Europe,Retail,22905,20
8831-10,Asia-Pacific,Online,46571,10
8831-10,Asia-Pacific,Retail,48880,5
8831-10,Australia,Online,26421,15
8831-10,Australia,Retail,33517,5
8833-9,USA,Online,26517,15
8833-9,USA,Retail,30656,5
8833-9,Europe,Online,15669,15
8833-9,Europe,Retail,23530,20
8833-9,Asia-Pacific,Online,14223,5
8833-9,Asia-Pacific,Retail,36943,5
8833-9,Australia,Online,17337,10
8833-9,Australia,Retail,21979,5
71000-9,USA,Online,46039,10
71000-9,USA,Retail,26019,15
71000-9,Europe,Online,36684,15
71000-9,Europe,Retail,38042,10
71000-9,Asia-Pacific,Online,41742,10
71000-9,Asia-Pacific,Retail,39981,5
71000-9,Australia,Online,47149,15
71000-9,Australia,Retail,23055,5
71000-10,USA,Online,18589,5
71000-10,USA,Retail,30412,5
71000-10,Europe,Online,48050,15
71000-10,Europe,Retail,44926,10
71000-10,Asia-Pacific,Online,46733,5
71000-10,Asia-Pacific,Retail,34972,5
71000-10,Australia,Online,42739,10
71000-10,Australia,Retail,40399,10
71001-9,USA,Online,28919,10
71001-9,USA,Retail,49240,5
71001-9,Europe,Online,43378,15
71001-9,Europe,Retail,30410,20
71001-9,Asia-Pacific,Online,28543,5
71001-9,Asia-Pacific,Retail,20564,5
71001-9,Australia,Online,11424,10
71001-9,Australia,Retail,39603,5
71002-9,USA,Online,23679,15
71002-9,USA,Retail,12565,10
71002-9,Europe,Online,32888,15
71002-9,Europe,Retail,30332,10
71002-9,Asia-Pacific,Online,15129,10
71002-9,Asia-Pacific,Retail,37347,10
71002-9,Australia,Online,21279,15
71002-9,Australia,Retail,26657,15
8804-12,USA,Online,42042,10
8804-12,USA,Retail,38477,5
8804-12,Europe,Online,37361,10
8804-12,Europe,Retail,48892,10
8804-12,Asia-Pacific,Online,45831,10
8804-12,Asia-Pacific,Retail,10737,5
8804-12,Australia,Online,31218,10
8804-12,Australia,Retail,48933,15
8803-13,USA,Online,13695,5
8803-13,USA,Retail,19153,15
8803-13,Europe,Online,21004,20
8803-13,Europe,Retail,47596,15
8803-13,Asia-Pacific,Online,48631,10
8803-13,Asia-Pacific,Retail,41586,5
8803-13,Australia,Online,12239,15
8803-13,Australia,Retail,49586,5
8803-14,USA,Online,35006,5
8803-14,USA,Retail,27104,15
8803-14,Europe,Online,42649,15
8803-14,Europe,Retail,34414,20
8803-14,Asia-Pacific,Online,40786,5
8803-14,Asia-Pacific,Retail,43288,5
8803-14,Australia,Online,38225,5
8803-14,Australia,Retail,35471,10
8803-15,USA,Online,23543,10
8803-15,USA,Retail,17490,15
8803-15,Europe,Online,28063,10
8803-15,Europe,Retail,11375,10
8803-15,Asia-Pacific,Online,37150,5
8803-15,Asia-Pacific,Retail,43118,5
8803-15,Australia,Online,17556,15
8803-15,Australia,Retail,14361,15
8803-16,USA,Online,45523,10
8803-16,USA,Retail,31797,15
8803-16,Europe,Online,37621,10
8803-16,Europe,Retail,33211,10
8803-16,Asia-Pacific,Online,18415,5
8803-16,Asia-Pacific,Retail,44084,5
8803-16,Australia,Online,40180,10
8803-16,Australia,Retail,32546,5
8804-1,USA,Online,19799,10
8804-1,USA,Retail,48044,10
8804-1,Europe,Online,10246,10
8804-1,Europe,Retail,40246,20
8804-1,Asia-Pacific,Online,39180,10
8804-1,Asia-Pacific,Retail,27417,5
8804-1,Australia,Online,43761,15
8804-1,Australia,Retail,49027,10
8804-2,USA,Online,15904,10
8804-2,USA,Retail,18651,15
8804-2,Europe,Online,27786,20
8804-2,Europe,Retail,45250,15
8804-2,Asia-Pacific,Online,17492,5
8804-2,Asia-Pacific,Retail,43282,5
8804-2,Australia,Online,10928,10
8804-2,Australia,Retail,12756,15
8804-3,USA,Online,34038,10
8804-3,USA,Retail,10679,5
8804-3,Europe,Online,23590,10
8804-3,Europe,Retail,26164,15
8804-3,Asia-Pacific,Online,20954,5
8804-3,Asia-Pacific,Retail,47397,10
8804-3,Australia,Online,23118,5
8804-3,Australia,Retail,20863,15
8804-4,USA,Online,33380,15
8804-4,USA,Retail,18715,5
8804-4,Europe,Online,46382,20
8804-4,Europe,Retail,17611,10
8804-4,Asia-Pacific,Online,10555,10
8804-4,Asia-Pacific,Retail,47276,10
8804-4,Australia,Online,27081,15
8804-4,Australia,Retail,41758,10
8804-5,USA,Online,46096,5
8804-5,USA,Retail,39574,5
8804-5,Europe,Online,25857,15
8804-5,Europe,Retail,31779,15
8804-5,Asia-Pacific,Online,31791,5
8804-5,Asia-Pacific,Retail,30480,10
8804-5,Australia,Online,14761,15
8804-5,Australia,Retail,37402,15
8804-6,USA,Online,23939,10
8804-6,USA,Retail,44630,5
8804-6,Europe,Online,37237,15
8804-6,Europe,Retail,45206,20
8804-6,Asia-Pacific,Online,40871,10
8804-6,Asia-Pacific,Retail,17306,10
8804-6,Australia,Online,11098,5
8804-6,Australia,Retail,43567,15
8804-7,USA,Online,20806,5
8804-7,USA,Retail,12421,5
8804-7,Europe,Online,26632,20
8804-7,Europe,Retail,14104,10
8804-7,Asia-Pacific,Online,23745,10
8804-7,Asia-Pacific,Retail,32570,5
8804-7,Australia,Online,37571,15
8804-7,Australia,Retail,32330,5
8804-8,USA,Online,20713,5
8804-8,USA,Retail,21782,10
8804-8,Europe,Online,13873,15
8804-8,Europe,Retail,21246,15
8804-8,Asia-Pacific,Online,32597,5
8804-8,Asia-Pacific,Retail,44228,5
8804-8,Australia,Online,39120,10
8804-8,Australia,Retail,31853,15
8804-9,USA,Online,27021,15
8804-9,USA,Retail,44623,10
8804-9,Europe,Online,48385,10
8804-9,Europe,Retail,29840,20
8804-9,Asia-Pacific,Online,37843,10
8804-9,Asia-Pacific,Retail,45951,10
8804-9,Australia,Online,16912,15
8804-9,Australia,Retail,13380,10
8804-10,USA,Online,49043,10
8804-10,USA,Retail,15626,5
8804-10,Europe,Online,47497,10
8804-10,Europe,Retail,19672,20
8804-10,Asia-Pacific,Online,18994,10
8804-10,Asia-Pacific,Retail,37844,5
8804-10,Australia,Online,19412,10
8804-10,Australia,Retail,13028,10
8804-11,USA,Online,47453,15
8804-11,USA,Retail,26788,5
8804-11,Europe,Online,44169,10
8804-11,Europe,Retail,42109,15
8804-11,Asia-Pacific,Online,25819,5
8804-11,Asia-Pacific,Retail,47726,10
8804-11,Australia,Online,47263,10
8804-11,Australia,Retail,17078,15
8803-12,USA,Online,16736,10
8803-12,USA,Retail,27357,5
8803-12,Europe,Online,19053,10
8803-12,Europe,Retail,15300,10
8803-12,Asia-Pacific,Online,10204,10
8803-12,Asia-Pacific,Retail,47193,5
8803-12,Australia,Online,33578,15
8803-12,Australia,Retail,11563,5
8804-13,USA,Online,37335,15
8804-13,USA,Retail,30622,15
8804-13,Europe,Online,32221,15
8804-13,Europe,Retail,11573,20
8804-13,Asia-Pacific,Online,45076,10
8804-13,Asia-Pacific,Retail,22851,10
8804-13,Australia,Online,24353,15
8804-13,Australia,Retail,13149,10
8804-14,USA,Online,12831,15
8804-14,USA,Retail,15088,15
8804-14,Europe,Online,29510,15
8804-14,Europe,Retail,14801,15
8804-14,Asia-Pacific,Online,32622,5
8804-14,Asia-Pacific,Retail,43977,10
8804-14,Australia,Online,20883,15
8804-14,Australia,Retail,38809,5
8804-15,USA,Online,48252,5
8804-15,USA,Retail,41431,10
8804-15,Europe,Online,35549,15
8804-15,Europe,Retail,40701,15
8804-15,Asia-Pacific,Online,34739,10
8804-15,Asia-Pacific,Retail,19486,5
8804-15,Australia,Online,39602,10
8804-15,Australia,Retail,32490,10
8804-16,USA,Online,41161,10
8804-16,USA,Retail,11167,10
8804-16,Europe,Online,12903,10
8804-16,Europe,Retail,15713,15
8804-16,Asia-Pacific,Online,33941,10
8804-16,Asia-Pacific,Retail,29390,5
8804-16,Australia,Online,45869,15
8804-16,Australia,Retail,37083,15
8805-1,USA,Online,47706,5
8805-1,USA,Retail,49439,10
8805-1,Europe,Online,35878,10
8805-1,Europe,Retail,39916,15
8805-1,Asia-Pacific,Online,25454,5
8805-1,Asia-Pacific,Retail,47446,5
8805-1,Australia,Online,38088,15
8805-1,Australia,Retail,41468,15
8805-2,USA,Online,21753,5
8805-2,USA,Retail,43545,5
8805-2,Europe,Online,23000,20
8805-2,Europe,Retail,10898,15
8805-2,Asia-Pacific,Online,10834,10
8805-2,Asia-Pacific,Retail,15012,5
8805-2,Australia,Online,17792,10
8805-2,Australia,Retail,22204,5
8805-3,USA,Online,27440,15
8805-3,USA,Retail,22091,15
8805-3,Europe,Online,33627,15
8805-3,Europe,Retail,12033,15
8805-3,Asia-Pacific,Online,20401,5
8805-3,Asia-Pacific,Retail,22525,10
8805-3,Australia,Online,25135,15
8805-3,Australia,Retail,21012,5
8805-4,USA,Online,39236,15
8805-4,USA,Retail,44099,10
8805-4,Europe,Online,12047,15
8805-4,Europe,Retail,24089,20
8805-4,Asia-Pacific,Online,11142,5
8805-4,Asia-Pacific,Retail,37470,5
8805-4,Australia,Online,48488,5
8805-4,Australia,Retail,37916,15
8805-5,USA,Online,19221,15
8805-5,USA,Retail,21118,10
8805-5,Europe,Online,32648,20
8805-5,Europe,Retail,24734,20
8805-5,Asia-Pacific,Online,32776,5
8805-5,Asia-Pacific,Retail,20643,10
8805-5,Australia,Online,47317,15
8805-5,Australia,Retail,47537,10
8805-6,USA,Online,49462,15
8805-6,USA,Retail,38434,5
8805-6,Europe,Online,47974,15
8805-6,Europe,Retail,40523,15
8805-6,Asia-Pacific,Online,11782,5
8805-6,Asia-Pacific,Retail,42881,5
8805-6,Australia,Online,11726,5
8805-6,Australia,Retail,11841,10
8805-7,USA,Online,33554,15
8805-7,USA,Retail,34881,15
8805-7,Europe,Online,14407,20
8805-7,Europe,Retail,48898,10
8805-7,Asia-Pacific,Online,32744,5
8805-7,Asia-Pacific,Retail,19268,5
8805-7,Australia,Online,22323,5
8805-7,Australia,Retail,29457,5
8805-8,USA,Online,16842,15
8805-8,USA,Retail,47971,15
8805-8,Europe,Online,15896,20
8805-8,Europe,Retail,40499,20
8805-8,Asia-Pacific,Online,40251,10
8805-8,Asia-Pacific,Retail,14905,5
8805-8,Australia,Online,12817,5
8805-8,Australia,Retail,18021,10
8805-9,USA,Online,16887,10
8805-9,USA,Retail,12914,15
8805-9,Europe,Online,49392,20
8805-9,Europe,Retail,20634,20
8805-9,Asia-Pacific,Online,39484,5
8805-9,Asia-Pacific,Retail,27688,5
8805-9,Australia,Online,26977,15
8805-9,Australia,Retail,44382,15
8805-10,USA,Online,45865,15
8805-10,USA,Retail,33229,15
8805-10,Europe,Online,34769,15
8805-10,Europe,Retail,13726,15
8805-10,Asia-Pacific,Online,24604,5
8805-10,Asia-Pacific,Retail,19203,10
8805-10,Australia,Online,14963,15
8805-10,Australia,Retail,49983,10
8805-11,USA,Online,46765,10
8805-11,USA,Retail,41654,15
8805-11,Europe,Online,38227,15
8805-11,Europe,Retail,34377,20
8805-11,Asia-Pacific,Online,15226,10
8805-11,Asia-Pacific,Retail,43303,5
8805-11,Australia,Online,10178,10
8805-11,Australia,Retail,23405,15
8805-12,USA,Online,37671,10
8805-12,USA,Retail,22282,10
8805-12,Europe,Online,38095,20
8805-12,Europe,Retail,34153,15
8805-12,Asia-Pacific,Online,46787,5
8805-12,Asia-Pacific,Retail,10181,10
8805-12,Australia,Online,49951,15
8805-12,Australia,Retail,41683,10
8805-13,USA,Online,42644,5
8805-13,USA,Retail,30667,10
8805-13,Europe,Online,34894,20
8805-13,Europe,Retail,41749,10
8805-13,Asia-Pacific,Online,40197,10
8805-13,Asia-Pacific,Retail,18557,10
8805-13,Australia,Online,47668,5
8805-13,Australia,Retail,41927,10
8805-14,USA,Online,28475,5
8805-14,USA,Retail,31582,15
8805-14,Europe,Online,49632,15
8805-14,Europe,Retail,22010,20
8805-14,Asia-Pacific,Online,15514,5
8805-14,Asia-Pacific,Retail,16991,10
8805-14,Australia,Online,21245,5
8805-14,Australia,Retail,30643,5
8886-1,USA,Online,35225,10
8886-1,USA,Retail,22499,5
8886-1,Europe,Online,28302,10
8886-1,Europe,Retail,40075,15
8886-1,Asia-Pacific,Online,24578,5
8886-1,Asia-Pacific,Retail,19252,10
8886-1,Australia,Online,17584,15
8886-1,Australia,Retail,10425,10
8803-1,USA,Online,27066,15
8803-1,USA,Retail,24496,5
8803-1,Europe,Online,49459,10
8803-1,Europe,Retail,30456,10
8803-1,Asia-Pacific,Online,30422,10
8803-1,Asia-Pacific,Retail,36248,5
8803-1,Australia,Online,28296,15
8803-1,Australia,Retail,21879,15
8803-2,USA,Online,22757,15
8803-2,USA,Retail,14091,5
8803-2,Europe,Online,47765,20
8803-2,Europe,Retail,22455,20
8803-2,Asia-Pacific,Online,28132,10
8803-2,Asia-Pacific,Retail,15537,5
8803-2,Australia,Online,46410,15
8803-2,Australia,Retail,33303,15
8803-3,USA,Online,17697,15
8803-3,USA,Retail,31182,5
8803-3,Europe,Online,35838,10
8803-3,Europe,Retail,23828,15
8803-3,Asia-Pacific,Online,22179,10
8803-3,Asia-Pacific,Retail,24878,10
8803-3,Australia,Online,28716,5
8803-3,Australia,Retail,32870,5
8803-4,USA,Online,35144,5
8803-4,USA,Retail,35651,15
8803-4,Europe,Online,26047,10
8803-4,Europe,Retail,39390,10
8803-4,Asia-Pacific,Online,42684,5
8803-4,Asia-Pacific,Retail,40858,10
8803-4,Australia,Online,38049,10
8803-4,Australia,Retail,36767,10
8803-5,USA,Online,16593,5
8803-5,USA,Retail,12681,5
8803-5,Europe,Online,24090,20
8803-5,Europe,Retail,25269,10
8803-5,Asia-Pacific,Online,37182,10
8803-5,Asia-Pacific,Retail,29726,10
8803-5,Australia,Online,35889,5
8803-5,Australia,Retail,21815,10
8803-6,USA,Online,36927,10
8803-6,USA,Retail,35350,10
8803-6,Europe,Online,29261,15
8803-6,Europe,Retail,26811,15
8803-6,Asia-Pacific,Online,30837,5
8803-6,Asia-Pacific,Retail,47263,10
8803-6,Australia,Online,16893,5
8803-6,Australia,Retail,10309,15
8803-7,USA,Online,17689,5
8803-7,USA,Retail,39491,15
8803-7,Europe,Online,18133,15
8803-7,Europe,Retail,21844,10
8803-7,Asia-Pacific,Online,25607,5
8803-7,Asia-Pacific,Retail,33614,10
8803-7,Australia,Online,13525,5
8803-7,Australia,Retail,10092,15
8803-8,USA,Online,36894,10
8803-8,USA,Retail,30155,15
8803-8,Europe,Online,34429,20
8803-8,Europe,Retail,25227,15
8803-8,Asia-Pacific,Online,21200,5
8803-8,Asia-Pacific,Retail,35302,5
8803-8,Australia,Online,33732,5
8803-8,Australia,Retail,46156,10
8803-9,USA,Online,43830,15
8803-9,USA,Retail,33242,10
8803-9,Europe,Online,21376,20
8803-9,Europe,Retail,44663,10
8803-9,Asia-Pacific,Online,35558,10
8803-9,Asia-Pacific,Retail,37318,5
8803-9,Australia,Online,35413,10
8803-9,Australia,Retail,21551,10
8803-10,USA,Online,27350,10
8803-10,USA,Retail,21973,15
8803-10,Europe,Online,48829,15
8803-10,Europe,Retail,30613,10
8803-10,Asia-Pacific,Online,29426,5
8803-10,Asia-Pacific,Retail,26756,10
8803-10,Australia,Online,37090,15
8803-10,Australia,Retail,45014,5
8803-11,USA,Online,38935,5
8803-11,USA,Retail,11216,15
8803-11,Europe,Online,30660,20
8803-11,Europe,Retail,26298,15
8803-11,Asia-Pacific,Online,46554,10
8803-11,Asia-Pacific,Retail,46383,10
8803-11,Australia,Online,36602,5
8803-11,Australia,Retail,26747,15
8398-1,USA,Online,37944,15
8398-1,USA,Retail,27234,10
8398-1,Europe,Online,12075,15
8398-1,Europe,Retail,24716,10
8398-1,Asia-Pacific,Online,10760,10
8398-1,Asia-Pacific,Retail,12828,10
8398-1,Australia,Online,46234,10
8398-1,Australia,Retail,24135,5
7901-1,USA,Online,13732,10
7901-1,USA,Retail,21008,5
